"family_id","dt","steps","motion"
"F1C45424538","2025-06-14","44821120842","12864"
"F1C45424538","2025-06-15","51581919784","16664"
"F1C45424538","2025-06-16","60533040563","8090"
"F1C45424538","2025-06-17","67573125791","40732"
"F1C45424538","2025-06-18","66201778677","39258"
"F1C45424538","2025-06-19","62355074100","40296"
"F1C45424538","2025-06-20","64925217925","50476"
"F1C45424538","2025-06-21","100265869594","77116"
"F1C45424538","2025-06-22","158789658330","100078"
"F1C45424538","2025-06-23","126679701741","74917"
"F1C45424538","2025-06-24","13559589099","81915"
"F1C45424538","2025-06-25","62491306860","59340"
"F1C45424538","2025-06-26","75814016083","38059"
"F1C45424538","2025-06-27","117835592428","67744"
"F1C45424538","2025-06-28","183621295094","70841"
"F1C45424538","2025-06-29","88208102959","55936"
"F1C45424538","2025-06-30","23291940837","55910"
"F1C45424538","2025-07-01","68556596773","31209"
"F1C45424538","2025-07-02","115987096136","65582"
"F1C45424538","2025-07-03","100806554223","45598"
"F1C45424538","2025-07-04","72950460941","44524"
"F1C45424538","2025-07-05","100323039315","41838"
"F1C45424538","2025-07-06","106616134348","41370"
"F1C45424538","2025-07-07","90658095471","24082"
"F1C45424538","2025-07-08","97723708047","42120"
"F1C45424538","2025-07-09","112953769939","43067"
"F1C45424538","2025-07-10","109937189299","41778"
"F1C45424538","2025-07-11","98724985116","43289"
"F1C45424538","2025-07-12","110593315358","43112"
"F1C45424538","2025-07-13","110960341569","42142"
"F1C45424538","2025-07-14","98623618491","42406"
"F1C45424538","2025-07-15","43186388606","42584"
"F1C45424538","2025-07-16","113170067006","43624"
"F1C45424538","2025-07-17","98647082440","43064"
"F1C45424538","2025-07-18","112069156945","43094"
"F1C45424538","2025-07-19","104221611111","59649"
"F1C45424538","2025-07-20","16312925424","73006"
"F1C45424538","2025-07-21","28490870300","65933"
"F1C45424538","2025-07-22","5650921692","66229"
"F1C45424538","2025-07-23","12128658159","59606"
"F1C45424538","2025-07-24","17272444812","33505"
"F1C45424538","2025-08-03","41883856684","16708"
"F1C45424538","2025-08-04","23694628081","72911"
"F1C45424538","2025-08-05","1589732","60900"
"F1C45424538","2025-08-06","883006","35305"
"F1C45424538","2025-08-07","991855","84011"
"F1C45424538","2025-08-08","1030635","68264"
"F1C45424538","2025-08-09","298619","49968"
"F1C45424538","2025-08-10","158684","16917"
"F1C45424538","2025-08-11","50280","17330"
"F1C45424538","2025-08-12","75392","36300"
"F1C45424538","2025-08-13","37647","42541"
"F1C45424538","2025-08-14","65436","42930"
"F1C45424538","2025-08-15","295045","51443"
"F1C45424538","2025-08-16","585790","56019"
"F1C45424538","2025-08-17","643885","59946"
"F1C45424538","2025-08-18","834344","72951"
"F1C45424538","2025-08-19","72442","70136"
"F1C45424538","2025-08-20","35497","60062"
"F1C45424538","2025-08-21","25731","71240"
"F1C45424538","2025-08-22","90280","86563"
"F1C45424538","2025-08-23","143","56435"
"F1C45424538","2025-08-24","286553","82774"
"F1C45424538","2025-08-25","43347","82236"
"F1C45424538","2025-08-26","196","81001"
"F1C45424538","2025-08-27","359441","79144"
"F1C45424538","2025-08-28","61169","86676"
"F1C45424538","2025-08-29","80469","79845"
